name,desc,info,score
大闹天宫,经典之作，历久弥新。,导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   主演: 邱岳峰 Yuefeng Qiu /...,9.2
心灵捕手,人生中应该拥有这样的一段豁然开朗。,导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...,8.8
可可西里,坚硬的信仰。,导演: 陆川 Chuan Lu   主演: 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,8.7
请以你的名字呼唤我,沉醉在电影的情感和视听氛围中无法自拔。,导演: 卢卡·圭达尼诺 Luca Guadagnino   主演: 蒂莫西·柴勒梅德 Timothée ...,8.8
战争之王,做一颗让别人需要你的棋子。,导演: 安德鲁·尼科尔 Andrew Niccol   主演: 尼古拉斯·凯奇 Nicolas Cage /...,8.5
二十二,有一些东西不应该被遗忘。,导演: 郭柯 Ke Guo   主演:,8.8
黑天鹅,黑暗之美。,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky   主演: 娜塔莉·波特曼 Natalie...,8.5
英雄本色,英雄泪短，兄弟情长。 ,导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,8.7
燃情岁月,传奇，不是每个人都可以拥有。,导演: 爱德华·兹威克 Edward Zwick   主演: 安东尼·霍普金斯 Anthony Hopki...,8.7
卢旺达饭店,当这个世界闭上双眼，他却敞开了怀抱。,导演: 特瑞·乔治 Terry George   主演: 唐·钱德尔 Don Cheadle / 苏菲·奥...,8.8
虎口脱险,永远看不腻的喜剧。,导演: 杰拉尔·乌里 Gérard Oury   主演: 路易·德·菲耐斯 Louis de Funès...,8.9
恋恋笔记本,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,导演: 尼克·卡索维茨 Nick Cassavetes   主演: 瑞恩·高斯林 Ryan Gosling /...,8.5
海边的曼彻斯特,我们都有权利不与自己的过去和解。,导演: 肯尼斯·罗纳根 Kenneth Lonergan   主演: 卡西·阿弗莱克 Casey Affle...,8.6
